# Observed X-ray fluxes of the TDE AT2019dsg. Data from Stein et al. 2021. 
# Source observed at a distance of 236.4 Mpc, time of peak t_peak=58603.87 MJD
# Date since peak (days)    Observing Band        Flux (cgs units)     Flux error (cgs units; -1 = 3 sigma upper limit)    
4.699732e+01    XUL    4.157185e-13    -1.000000e+00    
6.748567e+01    XUL    5.052952e-13    -1.000000e+00    
7.218327e+01    XUL    3.845042e-13    -1.000000e+00    
8.471223e+01    XUL    8.392360e-13    -1.000000e+00    
8.649555e+01    XUL    1.020070e-12    -1.000000e+00    
9.028777e+01    XUL    8.392360e-13    -1.000000e+00    
9.407999e+01    XUL    6.904597e-13    -1.000000e+00    
9.803378e+01    XUL    7.179389e-13    -1.000000e+00    
1.030515e+02    XUL    9.073658e-13    -1.000000e+00    
1.184154e+02    XUL    3.420217e-12    -1.000000e+00    
1.210218e+02    XUL    1.102880e-12    -1.000000e+00    
1.224790e+02    XUL    8.726363e-13    -1.000000e+00    
1.487532e+02    XUL    7.179389e-13    -1.000000e+00    
1.542099e+02    XUL    3.289307e-13    -1.000000e+00    
1.583295e+01    X    4.399880e-12    8.435444e-13    
1.970323e+01    X    1.215556e-12    6.474976e-13    
2.263118e+01    X    2.021204e-12    5.141752e-13    
2.556524e+01    X    3.633663e-12    8.197681e-13    
2.878691e+01    X    2.560639e-12    5.801814e-13    
3.126511e+01    X    1.372720e-12    2.698400e-13    
3.472235e+01    X    1.953036e-13    1.009558e-13    
3.699862e+01    X    7.966463e-13    2.503309e-13    
3.983173e+01    X    3.950581e-13    1.447584e-13    
4.310540e+01    X    5.405166e-13    2.362838e-13    
